"","ccs","codes"
"1","1","01000"
"2","1","01001"
"3","1","01002"
"4","1","01003"
"5","1","01004"
"6","1","01005"
"7","1","01006"
"8","1","01010"
"9","1","01011"
"10","1","01012"
"11","1","01013"
"12","1","01014"
"13","1","01015"
"14","1","01016"
"15","1","01080"
"16","1","01081"
"17","1","01082"
"18","1","01083"
"19","1","01084"
"20","1","01085"
"21","1","01086"
"22","1","01090"
"23","1","01091"
"24","1","01092"
"25","1","01093"
"26","1","01094"
"27","1","01095"
"28","1","01096"
"29","1","01100"
"30","1","01101"
"31","1","01102"
"32","1","01103"
"33","1","01104"
"34","1","01105"
"35","1","01106"
"36","1","01110"
"37","1","01111"
"38","1","01112"
"39","1","01113"
"40","1","01114"
"41","1","01115"
"42","1","01116"
"43","1","01120"
"44","1","01121"
"45","1","01122"
"46","1","01123"
"47","1","01124"
"48","1","01125"
"49","1","01126"
"50","1","01130"
"51","1","01131"
"52","1","01132"
"53","1","01133"
"54","1","01134"
"55","1","01135"
"56","1","01136"
"57","1","01140"
"58","1","01141"
"59","1","01142"
"60","1","01143"
"61","1","01144"
"62","1","01145"
"63","1","01146"
"64","1","01150"
"65","1","01151"
"66","1","01152"
"67","1","01153"
"68","1","01154"
"69","1","01155"
"70","1","01156"
"71","1","01160"
"72","1","01161"
"73","1","01162"
"74","1","01163"
"75","1","01164"
"76","1","01165"
"77","1","01166"
"78","1","01170"
"79","1","01171"
"80","1","01172"
"81","1","01173"
"82","1","01174"
"83","1","01175"
"84","1","01176"
"85","1","01180"
"86","1","01181"
"87","1","01182"
"88","1","01183"
"89","1","01184"
"90","1","01185"
"91","1","01186"
"92","1","01190"
"93","1","01191"
"94","1","01192"
"95","1","01193"
"96","1","01194"
"97","1","01195"
"98","1","01196"
"99","1","01200"
"100","1","01201"
"101","1","01202"
"102","1","01203"
"103","1","01204"
"104","1","01205"
"105","1","01206"
"106","1","01210"
"107","1","01211"
"108","1","01212"
"109","1","01213"
"110","1","01214"
"111","1","01215"
"112","1","01216"
"113","1","01220"
"114","1","01221"
"115","1","01222"
"116","1","01223"
"117","1","01224"
"118","1","01225"
"119","1","01226"
"120","1","01230"
"121","1","01231"
"122","1","01232"
"123","1","01233"
"124","1","01234"
"125","1","01235"
"126","1","01236"
"127","1","01280"
"128","1","01281"
"129","1","01282"
"130","1","01283"
"131","1","01284"
"132","1","01285"
"133","1","01286"
"134","1","01300"
"135","1","01301"
"136","1","01302"
"137","1","01303"
"138","1","01304"
"139","1","01305"
"140","1","01306"
"141","1","01310"
"142","1","01311"
"143","1","01312"
"144","1","01313"
"145","1","01314"
"146","1","01315"
"147","1","01316"
"148","1","01320"
"149","1","01321"
"150","1","01322"
"151","1","01323"
"152","1","01324"
"153","1","01325"
"154","1","01326"
"155","1","01330"
"156","1","01331"
"157","1","01332"
"158","1","01333"
"159","1","01334"
"160","1","01335"
"161","1","01336"
"162","1","01340"
"163","1","01341"
"164","1","01342"
"165","1","01343"
"166","1","01344"
"167","1","01345"
"168","1","01346"
"169","1","01350"
"170","1","01351"
"171","1","01352"
"172","1","01353"
"173","1","01354"
"174","1","01355"
"175","1","01356"
"176","1","01360"
"177","1","01361"
"178","1","01362"
"179","1","01363"
"180","1","01364"
"181","1","01365"
"182","1","01366"
"183","1","01380"
"184","1","01381"
"185","1","01382"
"186","1","01383"
"187","1","01384"
"188","1","01385"
"189","1","01386"
"190","1","01390"
"191","1","01391"
"192","1","01392"
"193","1","01393"
"194","1","01394"
"195","1","01395"
"196","1","01396"
"197","1","01400"
"198","1","01401"
"199","1","01402"
"200","1","01403"
"201","1","01404"
"202","1","01405"
"203","1","01406"
"204","1","01480"
"205","1","01481"
"206","1","01482"
"207","1","01483"
"208","1","01484"
"209","1","01485"
"210","1","01486"
"211","1","01500"
"212","1","01501"
"213","1","01502"
"214","1","01503"
"215","1","01504"
"216","1","01505"
"217","1","01506"
"218","1","01510"
"219","1","01511"
"220","1","01512"
"221","1","01513"
"222","1","01514"
"223","1","01515"
"224","1","01516"
"225","1","01520"
"226","1","01521"
"227","1","01522"
"228","1","01523"
"229","1","01524"
"230","1","01525"
"231","1","01526"
"232","1","01550"
"233","1","01551"
"234","1","01552"
"235","1","01553"
"236","1","01554"
"237","1","01555"
"238","1","01556"
"239","1","01560"
"240","1","01561"
"241","1","01562"
"242","1","01563"
"243","1","01564"
"244","1","01565"
"245","1","01566"
"246","1","01570"
"247","1","01571"
"248","1","01572"
"249","1","01573"
"250","1","01574"
"251","1","01575"
"252","1","01576"
"253","1","01580"
"254","1","01581"
"255","1","01582"
"256","1","01583"
"257","1","01584"
"258","1","01585"
"259","1","01586"
"260","1","01590"
"261","1","01591"
"262","1","01592"
"263","1","01593"
"264","1","01594"
"265","1","01595"
"266","1","01596"
"267","1","01600"
"268","1","01601"
"269","1","01602"
"270","1","01603"
"271","1","01604"
"272","1","01605"
"273","1","01606"
"274","1","01610"
"275","1","01611"
"276","1","01612"
"277","1","01613"
"278","1","01614"
"279","1","01615"
"280","1","01616"
"281","1","01620"
"282","1","01621"
"283","1","01622"
"284","1","01623"
"285","1","01624"
"286","1","01625"
"287","1","01626"
"288","1","01630"
"289","1","01631"
"290","1","01632"
"291","1","01633"
"292","1","01634"
"293","1","01635"
"294","1","01636"
"295","1","01640"
"296","1","01641"
"297","1","01642"
"298","1","01643"
"299","1","01644"
"300","1","01645"
"301","1","01646"
"302","1","01650"
"303","1","01651"
"304","1","01652"
"305","1","01653"
"306","1","01654"
"307","1","01655"
"308","1","01656"
"309","1","01660"
"310","1","01661"
"311","1","01662"
"312","1","01663"
"313","1","01664"
"314","1","01665"
"315","1","01666"
"316","1","01670"
"317","1","01671"
"318","1","01672"
"319","1","01673"
"320","1","01674"
"321","1","01675"
"322","1","01676"
"323","1","01690"
"324","1","01691"
"325","1","01692"
"326","1","01693"
"327","1","01694"
"328","1","01695"
"329","1","01696"
"330","1","01700"
"331","1","01701"
"332","1","01702"
"333","1","01703"
"334","1","01704"
"335","1","01705"
"336","1","01706"
"337","1","01710"
"338","1","01711"
"339","1","01712"
"340","1","01713"
"341","1","01714"
"342","1","01715"
"343","1","01716"
"344","1","01720"
"345","1","01721"
"346","1","01722"
"347","1","01723"
"348","1","01724"
"349","1","01725"
"350","1","01726"
"351","1","01730"
"352","1","01731"
"353","1","01732"
"354","1","01733"
"355","1","01734"
"356","1","01735"
"357","1","01736"
"358","1","01740"
